#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 9.200000 14.0
1 9.800000 40.0
2 8.800000 6.0
3 8.900000 54.0
4 8.800000 4.0
5 10.100000 46.0
6 11.600000 45.0
7 9.300000 10.0
8 10.800000 14.0
9 10.100000 7.0
10 9.700000 51.0
11 10.000000 51.0
12 10.000000 10.0
13 9.700000 54.0
14 13.200000 55.0
15 9.500000 59.0
16 10.800000 54.0
17 9.900000 9.0
18 9.200000 8.0
19 8.400000 11.0
20 10.100000 45.0
21 10.900000 48.0
22 11.100000 53.0
23 9.200000 48.0
24 11.200000 44.0
25 9.900000 48.0
26 9.800000 46.0
27 9.400000 49.0
28 10.900000 10.0
29 10.500000 9.0
30 11.900000 10.0
31 9.400000 12.0
32 9.100000 6.0
33 10.300000 52.0
34 9.500000 39.0
35 9.200000 14.0
36 8.300000 57.0
37 9.600000 43.0
38 9.900000 8.0
39 10.600000 11.0
40 8.600000 9.0
41 8.300000 7.0
42 10.000000 8.0
43 9.500000 6.0
44 10.300000 58.0
45 10.100000 49.0
46 10.200000 44.0
47 9.100000 10.0
48 9.100000 13.0
49 10.400000 8.0
50 10.500000 6.0
51 10.800000 9.0
52 9.700000 10.0
53 9.500000 16.0
54 11.500000 14.0
55 10.000000 9.0
56 9.600000 10.0
57 10.000000 6.0
58 8.300000 11.0
59 8.200000 12.0
60 11.300000 4.0
61 9.400000 12.0
62 9.300000 7.0
63 9.300000 9.0
64 8.200000 16.0
65 10.400000 9.0
66 9.800000 7.0
67 7.600000 2.0
68 8.900000 12.0
69 10.300000 12.0
70 11.000000 9.0
71 10.300000 9.0
72 10.900000 8.0
73 11.600000 3.0
74 8.800000 10.0
75 10.500000 9.0
76 11.200000 10.0
77 10.900000 9.0
78 10.200000 10.0
79 10.100000 7.0
80 10.500000 14.0
81 9.200000 8.0
82 9.500000 13.0
83 10.400000 7.0
84 10.300000 14.0
85 10.300000 5.0
86 8.500000 9.0
87 11.700000 13.0
88 10.200000 14.0
89 11.000000 11.0
90 8.800000 11.0
91 10.400000 11.0
92 9.300000 8.0
93 9.700000 40.0
94 10.900000 51.0
95 12.400000 58.0
96 10.200000 51.0
97 10.800000 38.0
98 11.600000 11.0
99 9.800000 9.0
END
#################################################################
SECTION3 (Edges Information)
EndPoint0 EndPoint1 Weight
0 1 1.000000
0 9 1.000000
0 10 1.000000
0 90 1.000000
1 0 1.000000
1 2 1.000000
1 11 1.000000
1 91 1.000000
2 1 1.000000
2 3 1.000000
2 12 1.000000
2 92 1.000000
3 2 1.000000
3 4 1.000000
3 13 1.000000
3 93 1.000000
4 3 1.000000
4 5 1.000000
4 14 1.000000
4 94 1.000000
5 4 1.000000
5 6 1.000000
5 15 1.000000
5 95 1.000000
6 5 1.000000
6 7 1.000000
6 16 1.000000
6 96 1.000000
7 6 1.000000
7 8 1.000000
7 17 1.000000
7 97 1.000000
8 7 1.000000
8 9 1.000000
8 18 1.000000
8 98 1.000000
9 0 1.000000
9 8 1.000000
