#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 9.700000 52.0
1 10.300000 53.0
2 9.800000 52.0
3 10.600000 45.0
4 9.200000 47.0
5 8.600000 9.0
6 10.300000 11.0
7 8.300000 13.0
8 9.800000 57.0
9 8.600000 63.0
10 10.300000 50.0
11 9.500000 47.0
12 9.500000 50.0
13 10.900000 58.0
14 10.800000 10.0
15 9.100000 12.0
16 11.500000 7.0
17 9.200000 16.0
18 8.300000 47.0
19 12.300000 6.0
20 11.100000 10.0
21 10.500000 7.0
22 8.300000 20.0
23 9.500000 11.0
24 9.200000 9.0
25 9.600000 14.0
26 10.100000 9.0
27 10.500000 8.0
28 9.100000 8.0
29 9.100000 16.0
30 10.400000 4.0
31 11.000000 12.0
32 9.500000 9.0
33 10.400000 10.0
34 10.300000 10.0
35 9.200000 9.0
36 10.000000 13.0
37 9.600000 11.0
38 11.400000 6.0
39 10.900000 9.0
40 9.100000 9.0
41 9.600000 6.0
42 9.000000 8.0
43 9.500000 11.0
44 11.200000 14.0
45 8.900000 5.0
46 9.800000 16.0
47 9.300000 9.0
48 10.300000 14.0
49 9.600000 9.0
50 11.100000 7.0
51 10.300000 15.0
52 10.100000 7.0
53 11.400000 8.0
54 9.100000 8.0
55 8.500000 7.0
56 10.200000 16.0
57 10.600000 8.0
58 9.500000 18.0
59 11.200000 7.0
60 9.000000 12.0
61 10.200000 10.0
62 10.000000 9.0
63 8.500000 7.0
64 10.200000 8.0
65 10.200000 8.0
66 10.300000 14.0
67 11.300000 14.0
68 7.800000 7.0
69 10.700000 9.0
70 10.500000 66.0
71 8.500000 46.0
72 10.100000 51.0
73 9.800000 8.0
74 9.300000 5.0
75 9.700000 53.0
76 11.100000 51.0
77 12.100000 53.0
78 10.200000 32.0
79 8.500000 40.0
80 8.400000 44.0
81 8.200000 60.0
82 9.100000 64.0
83 11.100000 15.0
84 8.400000 49.0
85 8.800000 51.0
86 10.800000 12.0
87 10.800000 12.0
88 11.900000 53.0
89 11.800000 47.0
90 9.300000 54.0
91 9.600000 52.0
92 8.500000 9.0
93 12.100000 6.0
94 9.600000 50.0
95 10.900000 14.0
96 10.900000 19.0
97 11.000000 13.0
98 9.500000 6.0
99 8.900000 10.0
END
#################################################################
SECTION3 (Edges Information)
EndPoint0 EndPoint1 Weight
0 1 1.000000
0 9 1.000000
0 10 1.000000
0 90 1.000000
1 0 1.000000
1 2 1.000000
1 11 1.000000
1 91 1.000000
2 1 1.000000
2 3 1.000000
2 12 1.000000
2 92 1.000000
3 2 1.000000
3 4 1.000000
3 13 1.000000
3 93 1.000000
4 3 1.000000
4 5 1.000000
4 14 1.000000
4 94 1.000000
5 4 1.000000
5 6 1.000000
5 15 1.000000
5 95 1.000000
6 5 1.000000
6 7 1.000000
6 16 1.000000
6 96 1.000000
7 6 1.000000
7 8 1.000000
7 17 1.000000
7 97 1.000000
8 7 1.000000
8 9 1.000000
8 18 1.000000
8 98 1.000000
9 0 1.000000
9 8 1.000000
