#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 4.933349 4.597280890615334
1 5.013584 6.374195257141843
2 5.241229 4.446254724847888
3 5.096965 4.973784910239282
4 5.390084 3.801351412574976
5 4.941155 4.656718640487923
6 4.962295 5.498944062602198
7 4.830348 4.342884930528168
8 4.495549 7.320243865891318
9 4.976966 6.11381941823355
10 5.105565 3.7688643633562657
11 4.717912 4.545330638018121
12 4.858857 5.8545513844615495
13 5.002200 5.771642324122748
14 5.488168 5.672707650501752
15 5.157204 2.708715116744667
16 5.413277 3.355758121569848
17 5.223523 4.357888772666265
18 4.601607 5.157949345741946
19 5.239798 3.1730931854528404
20 5.631698 5.041372669366169
21 4.738137 7.602510688466123
22 5.315324 3.9759661623101064
23 4.541600 18.377606046675325
24 4.600485 19.50897600394238
25 5.146488 19.10685619961054
26 5.431466 19.269197457043074
27 5.309853 6.383405482021219
28 5.273345 6.885144802343213
29 5.510947 5.958456736393393
30 4.798004 3.855673096345922
31 4.825505 6.00406523010193
32 4.953239 3.1821310055273253
33 4.938519 4.099627185833777
34 4.855562 3.657403473815969
35 4.978049 18.9927022095807
36 5.367804 20.39184854832098
37 5.109578 19.49571633639021
38 5.191685 7.123660509422303
39 5.470078 4.245610473464721
40 5.049289 5.278553050095306
41 5.065812 4.610341885790659
42 4.856899 3.407580800465328
43 4.466419 5.299960622237737
44 4.947575 5.990967803517824
45 5.271383 19.715926823159695
46 5.595218 20.9216109053489
47 4.516961 20.226799750855722
48 4.744632 4.828088879828655
49 4.933184 2.927404084720369
50 4.423271 5.301750671920779
51 5.348426 4.8060313364875515
52 4.730779 6.6980770824074485
53 4.985270 6.634758592676652
54 4.965256 4.787819890156285
55 5.437856 5.931872707191191
56 4.883231 5.531075971730015
57 4.754670 4.392681175970211
58 5.207993 5.661283434935035
59 4.761953 6.3502975833239566
60 4.454474 4.790309795057926
61 4.949438 2.981953159280793
62 4.990686 6.616547141528733
63 5.184649 5.089853028537968
64 5.237627 6.867772681770353
65 5.273095 5.470884491241073
66 4.819368 3.520172125393152
67 4.868401 3.0834955066597436
68 5.431517 4.149749379602355
69 4.947932 5.191928418268339
70 4.670867 1.7955609762527471
71 4.682408 3.209437448596369
72 4.363481 5.087747258427374
73 5.097122 4.6346920129997615
74 5.193217 4.4271040789445415
75 5.010817 3.22064566861353
76 4.943776 5.909046035016071
77 4.666563 6.908587213808797
78 5.136555 3.843832233505863
79 4.579492 3.4026893812095578
80 4.327881 4.322352545649972
81 4.261648 5.329134037131528
82 4.964306 7.262947948903587
83 4.689946 4.686573317616002
84 5.048634 5.10138411032894
85 4.306096 6.479071830925914
86 5.093667 3.804780194268657
87 4.935009 5.281915796519495
88 4.826801 4.050236404587604
89 5.179143 4.393265957126554
90 5.428457 4.754194658769102
91 4.970714 2.629983686513074
92 4.969539 3.872465536300356
93 5.780986 4.822759523506962
94 4.941948 4.056999457141576
95 5.328062 6.161293106860391
96 5.130548 3.8693513621435027
97 4.806613 5.716544191898969
