#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 4.668421 20.243166823897784
1 5.352083 3.8469685686432036
2 4.804694 3.7199649396248207
3 5.037797 5.839200408201629
4 4.348427 5.736513228256733
5 4.790399 6.557390564077573
6 4.509527 5.438211256804568
7 4.609267 20.405694097561195
8 5.134874 21.996562215501438
9 5.396081 4.357535772973992
10 5.215056 21.009851496831292
11 4.740159 4.908170665353194
12 4.920756 4.269220899690994
13 4.885914 5.360434935697501
14 5.415309 7.296202592723592
15 5.130385 5.6583178367806894
16 4.631100 3.1476087856474004
17 3.757951 20.56998366995125
18 4.680183 5.790847144382209
19 4.914120 7.194525059707952
20 5.167383 20.126115125091143
21 5.206252 17.64406919057725
22 5.174328 20.355535645448917
23 5.568050 20.895161220161164
24 4.903832 20.286684353547756
25 5.426748 5.70733595388414
26 5.775611 20.39298746318162
27 5.214630 19.84097996055769
28 4.821345 4.404660040847078
29 5.085580 6.089642331308232
30 5.037891 3.8098167454249037
31 5.433644 19.613340055214664
32 4.677561 20.036862635922176
33 5.437296 19.96060629714834
34 4.795908 19.03915101157805
35 5.087739 4.989533789480915
36 4.922297 3.6390513028019935
37 5.408417 5.51590021560305
38 4.977987 5.9190222699789725
39 4.875104 3.8384217024435356
40 4.508117 5.647533836094081
41 4.950038 19.074326244252013
42 5.122097 19.942328325023123
43 4.748709 20.768110704782046
44 4.977151 20.720564776466475
45 5.103761 5.653349013901983
46 4.989944 4.630225801290593
47 4.701945 5.646795415080221
48 4.961647 4.037130957470401
49 4.955628 4.809814499217768
50 4.301803 5.804911788035921
51 4.825565 4.622369459162152
52 5.252403 2.6450846632252913
53 5.228571 5.787047696498207
54 5.290991 19.8308279966636
55 4.949765 5.32997825855147
56 5.075133 3.4968806704676876
57 4.963981 4.03201327254301
58 4.967541 3.3943451099158173
59 4.734541 5.058832221778996
60 5.312546 4.440627594645187
61 4.661077 5.702071783354382
62 4.963188 3.1894584475991947
63 4.734168 4.014288426449203
64 5.269964 20.49666391103557
65 5.521026 6.13097812579208
66 5.094920 6.965703309520223
67 5.231862 2.8488844053471927
68 5.043408 6.360874844774304
69 5.059905 4.154285871086248
70 5.549694 4.837024074702021
71 5.619982 4.859987470394573
72 4.670230 3.3625610784902897
73 5.299288 4.267231988172511
74 4.815632 20.584683512880833
75 4.910535 20.47883543345407
76 5.002977 19.544816476915205
77 5.082337 5.580229483697954
78 4.821654 5.604136898707188
79 4.698373 4.111375189716592
80 4.671539 21.156750849919643
81 5.068511 4.915671873231925
82 5.023233 3.901873956573713
83 4.583655 4.424141663679075
84 5.133661 2.710458198686427
85 4.898415 5.422456584936082
86 5.078251 3.9734867090594737
87 4.881645 5.009353658010484
88 4.856557 3.3434342063388014
89 5.331672 17.854776993193557
90 5.242306 20.20935194036477
91 4.925407 4.981206728236239
92 4.870346 5.158089601808599
93 5.068453 5.377303111619154
94 5.138011 3.806590234643364
95 4.698812 4.742875826573953
96 4.922135 5.264809849983865
