#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 4.635438 4.205890524042806
1 4.996666 19.867278371369466
2 4.674792 18.975742105744047
3 5.241111 17.32763478884314
4 5.021643 6.264230829628255
5 4.850144 5.191374093100119
6 4.730064 4.62625764757963
7 5.083626 5.998463714438485
8 5.065817 5.131111430958246
9 4.559592 2.919727172935035
10 5.116558 4.5347460311593615
11 4.976200 18.569235340854785
12 5.402042 6.331377291611673
13 4.901268 4.958436324969362
14 5.380662 4.700054608898109
15 4.749951 6.394476451002072
16 4.926372 4.570932339290144
17 4.998093 2.329753058740685
18 4.819534 4.075634353925483
19 5.347883 3.99465542391004
20 4.662501 6.2625987862964685
21 5.235270 19.333845011777974
22 4.553516 6.253746725519079
23 5.413001 3.543451875641159
24 4.699000 5.072509398480662
25 5.068900 6.073003587090943
26 5.207051 6.916401494536744
27 4.957303 3.9121460753121298
28 5.149078 4.8932661046976555
29 4.500789 5.3298246606768584
30 5.288053 3.9394525560814957
31 4.785002 5.86621197829745
32 4.464919 4.817844449658118
33 5.057848 4.616011335768472
34 4.901150 4.769192323066468
35 4.857955 4.292823291888005
36 4.745080 5.483564054532174
37 5.170605 4.539929063179346
38 4.981810 4.756149293992907
39 5.616585 4.221577792263092
40 4.751723 5.750794480597849
41 5.068959 5.7805465973924814
42 4.823434 5.108973487007324
43 5.149814 6.724013637809268
44 4.882570 5.178249653121375
45 4.918104 4.668624049577585
46 5.269603 4.363941435241237
47 5.286543 5.654507415194432
48 4.703540 5.058337196058904
49 4.690901 5.382052669463635
50 5.374555 5.578193959448791
51 4.881951 4.38639573174797
52 4.566217 4.742693473119552
53 4.792615 6.416155053237223
54 4.835758 5.209661473441433
55 4.770434 4.8328669956199
56 4.900099 6.463694560759589
57 5.145417 5.2333615575616275
58 5.441794 4.997131330702332
59 4.985658 4.3548366395224
60 5.271052 4.448981715131044
61 4.538889 5.57471216933712
62 5.397068 20.14069838195322
63 4.222162 3.1476789253629347
64 4.691907 5.865922924066107
65 4.930006 5.581664669448358
66 5.505264 4.982899558520448
67 5.553411 2.9479971615153246
68 5.147886 3.770269957602823
69 5.176540 4.97920142421609
70 5.170193 4.419825433764392
71 4.733027 5.208798397339269
72 4.572570 20.67439436358525
73 4.660593 3.159328724235136
74 4.607428 6.283638017300756
75 5.047378 4.262784138197328
76 4.805079 4.4387710356691175
77 4.675086 4.557448350276022
78 5.060501 4.619990525304663
79 5.028747 5.253453485637469
80 5.775030 4.6508258280456385
81 5.278142 5.388067530328066
82 4.913880 19.339054405811662
83 4.523546 18.92718222627434
84 4.662790 5.640137615796057
85 4.461757 6.126244916351259
86 5.166204 4.956614107345209
87 5.215228 4.962508554329872
88 5.578719 2.581336978402997
89 5.462142 6.586329343407556
90 5.250020 5.877507334551871
91 4.744586 5.551528773377089
92 4.908815 5.149050239310441
93 4.924650 18.660072292671952
94 5.606445 4.259944869241726
95 5.462746 3.269583679278491
96 4.932888 4.655839404442253
97 5.581926 6.321079820833322
