#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 5.136356 6.393033656157977
1 5.346340 5.362586106741228
2 5.429965 4.100204383363933
3 4.934536 4.187043912550241
4 5.088228 4.2732662206542
5 5.315692 3.2792881489866588
6 4.575592 4.670885886497568
7 4.766261 5.601160630589491
8 4.643828 5.2937437245701755
9 4.724825 6.761915719013423
10 4.848159 5.2938995363994215
11 5.383095 4.942235900161886
12 4.963119 5.465232290541417
13 4.503212 6.945150822155998
14 5.273913 5.0311494284504095
15 4.546346 6.631960820790134
16 4.786179 2.759631587811333
17 4.480574 4.749728979657217
18 5.503225 6.087313287194144
19 5.298874 4.9635294943781405
20 5.294028 4.175087535598451
21 4.940114 3.0557313198650298
22 5.417712 3.795315908389708
23 5.419408 4.84141143805405
24 5.073927 6.73644936282061
25 4.682305 5.470302350545748
26 5.101940 4.433143565582569
27 5.439887 4.218225738000456
28 5.340181 4.281806610926156
29 4.659951 4.86911020733408
30 5.018616 5.571930795967289
31 4.676909 4.379440778480705
32 5.010314 5.038767947363071
33 4.276719 4.850076497054433
34 4.447716 20.16193871526967
35 5.228686 20.390683141439133
36 4.983423 20.908273052902683
37 5.554748 6.363234920863892
38 5.324373 3.951057532884316
39 5.198132 2.9004683205400963
40 5.433164 6.558935090667619
41 4.875847 4.088967427476398
42 5.019717 3.3835861486662866
43 4.739934 4.669139012724578
44 4.748239 19.39325756289835
45 4.699653 20.912895417462767
46 5.142491 18.561019209630786
47 4.779572 3.218518182143141
48 5.163549 4.17861387644831
49 4.729565 5.2753435930177215
50 5.050313 3.076962286163324
51 4.691577 5.680617325838472
52 4.990571 4.356462141134796
53 4.731010 6.514946879944371
54 4.790598 7.062011690626525
55 5.243633 19.152761949263613
56 5.376523 20.01518026714464
57 5.087791 19.750398440677845
58 5.122360 7.491770839857346
59 4.976973 5.107356148676922
60 5.193508 6.333682485172199
61 4.898921 5.312928687330942
62 4.845334 4.292521617894213
63 4.918314 4.245066508516404
64 5.304102 4.967861278440487
65 4.924743 19.629391628955894
66 5.017077 20.88353105277573
67 5.327937 19.546453077594677
68 4.851459 5.423014130306667
69 5.141795 4.852690542883097
70 4.875184 21.785671522659484
71 4.829988 4.624721839096698
72 5.088229 7.256100866134109
73 4.864447 4.994027390929095
74 5.693614 4.431803151751458
75 4.718770 4.490771279545801
76 5.217666 5.406465978374404
77 4.865108 19.34704318556335
78 4.943922 20.664739844325492
79 5.230554 20.50079216321033
80 4.989529 20.711679397589332
81 4.636226 19.87736675325514
82 5.214901 3.2463314188837673
83 5.287418 4.892100791515215
84 4.844403 4.688498421128083
85 5.098768 3.9476951773791953
86 5.128327 6.814611252922755
87 5.299648 19.847253482359385
88 4.931377 20.022638022274357
89 4.287014 5.701154518017833
90 5.116183 4.359642943390257
91 5.354528 5.302699053098249
92 5.139330 4.823173946612998
93 5.164644 4.859043242151964
94 4.921829 3.0057628992348686
95 5.076276 5.479539696131912
96 4.353282 4.880651658778219
97 5.202140 6.527582453653186
