#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 5.050461 3.1117952047000257
1 5.223031 7.109431546503995
2 5.178517 4.897421306925272
3 4.133823 4.720010971745617
4 4.851895 4.670054042853238
5 4.488523 4.176126654613371
6 4.774899 19.052478142480783
7 4.247639 8.149071267721776
8 4.990760 5.832895628789071
9 5.342002 5.832941184341218
10 4.538448 18.18932286360962
11 4.788987 3.108706128831922
12 5.315874 4.721852444325862
13 5.040157 3.044925978100138
14 4.466009 5.467311556582758
15 4.811297 21.9783918781041
16 5.389323 18.692189682378064
17 4.764125 20.117286744550867
18 4.883930 19.554156151122744
19 4.968922 20.663620449455532
20 5.030605 18.40182435226321
21 5.180733 5.589918907191828
22 5.267471 4.369679454931646
23 5.047682 5.298180983681976
24 5.283665 5.198858811809105
25 4.775711 20.627888518735656
26 5.233956 19.47417423085558
27 5.346297 19.62157476144766
28 5.004492 5.036294167572349
29 4.924679 18.94553437356616
30 5.070701 4.739772474229651
31 5.159715 4.974544018829914
32 5.106753 5.668865855652656
33 4.953052 2.1758171725999946
34 5.426821 21.212820796540647
35 4.524944 18.56776293757388
36 4.920168 19.866515994573167
37 4.389126 5.08299827039322
38 5.574928 5.269822191720189
39 4.923765 4.60817825077685
40 4.972980 6.997218574958539
41 4.980773 4.949583141490873
42 4.628330 5.111486821899111
43 4.843683 5.588192529032476
44 4.708850 20.172801311212915
45 5.032277 20.955864168775168
46 5.603561 20.8114768198642
47 5.037719 4.587138538653968
48 4.770882 2.2904842754731893
49 5.060164 3.728103903987838
50 5.759228 5.546859519207186
51 4.864089 3.709520764828998
52 4.980272 5.242472668618105
53 5.031472 3.7743874973855887
54 4.875479 5.166464110816957
55 4.052791 4.734663478921437
56 4.872399 4.02566023002607
57 5.296616 3.1685889488279706
58 5.298946 4.506745263162276
59 5.162314 4.910918707883447
60 5.271756 5.310408171283552
61 5.501185 3.017863530140649
62 5.343884 5.604266014624521
63 4.348028 3.9396616318728688
64 5.020345 5.1386761397947875
65 5.148793 5.127544375537289
66 4.882647 4.558740175194639
67 5.358445 5.235991759264966
68 4.889617 5.439567220480664
69 4.955379 6.51751101145854
70 4.632060 5.507750743935666
71 5.168660 5.735738018885894
72 5.183140 5.30456859554737
73 5.597734 5.1761432881107785
74 5.182130 5.660952225426603
75 5.430818 4.53406086731437
76 4.977828 3.0608660040146756
77 4.844757 4.141837524422015
78 4.726885 4.822679103760175
79 4.625979 5.788204378666624
80 4.664659 3.313496473892001
81 4.557144 7.308366059417614
82 5.080200 6.2388441096910014
83 4.795833 5.458280576823154
84 5.452264 6.963335155567373
85 5.040002 4.312944114869438
86 5.061572 5.456101932678669
87 4.355538 4.0514989297222925
88 4.558185 5.48935609788175
89 5.046506 1.2111123223807212
90 5.323607 3.9959009768547076
91 5.116989 5.373541749828137
92 5.438819 5.398345482944457
93 4.862728 5.209919194299651
94 4.583279 4.686092715500071
95 5.205899 2.8076333546451915
96 5.062984 20.333547905356593
97 5.209389 18.453483867555875
