#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 5.120994 5.000013258847461
1 4.662665 5.065429665963643
2 5.020811 18.73039801928623
3 5.295826 21.61790460331284
4 5.697013 20.431910361317495
5 5.363543 20.245920007095773
6 5.244810 4.868550809018514
7 5.536395 5.6771530458941575
8 4.963789 4.786812097658159
9 5.080693 5.543036505886699
10 4.729531 6.815902412892622
11 4.708119 4.1139814197374776
12 4.421992 17.753171635918477
13 4.881088 20.310126498669224
14 5.392781 20.848947354904585
15 5.575156 20.031816545608415
16 4.832804 17.513765461881327
17 4.709758 4.141780997690598
18 5.019856 4.797125820525259
19 5.456757 5.4216640128417035
20 4.752772 4.132221981441054
21 4.824564 5.889306755633933
22 5.414386 20.13209424111059
23 4.898009 21.632739798044796
24 5.117942 20.74989672679761
25 4.907314 21.62236272687689
26 5.002912 19.965771734344752
27 4.973202 5.051459278719933
28 5.471460 5.788601879016862
29 4.891922 5.878335399076243
30 5.416825 18.320417441875367
31 5.097546 3.6642151549859117
32 5.065200 4.278565499833948
33 4.800571 20.295879415465844
34 5.420885 18.70068556428904
35 5.068055 17.383859407298427
36 4.504372 20.045553936207288
37 4.233048 20.15506149170392
38 5.183581 4.943265443858265
39 4.932682 18.034957561213957
40 5.150321 20.967280161942327
41 5.049605 19.123167269401055
42 4.942346 19.267025571292955
43 4.429763 19.10084143426565
44 5.102934 4.562922437995018
45 4.656140 6.768563378010091
46 4.799786 3.903910078438599
47 4.843418 19.747279672430636
48 5.209902 19.499664251814348
49 4.783324 19.826453559612997
50 4.869348 3.9530796806888944
51 5.052301 19.962165922197535
52 4.490184 21.105480650510145
53 5.114518 3.1233429422013654
54 4.892707 4.982260636830895
55 5.346414 4.620054064703035
56 5.163119 5.081622580821097
57 5.339502 4.1002620746255705
58 4.758017 6.700425030296315
59 4.749845 3.489390108208116
60 4.815734 5.3416136973046635
61 5.083425 3.7874730124879172
62 5.011616 5.396916443850717
63 4.662174 3.779661336916986
64 4.504369 4.164317272312151
65 5.060843 4.067253995909488
66 4.886820 5.816665871278028
67 4.856855 5.6218646478305
68 4.261889 4.419426430262389
69 5.180734 5.235030044599203
70 4.831960 4.326506319650707
71 4.428560 5.3446675490949085
72 5.076584 5.407474210415903
73 4.790358 4.417028977278062
74 5.149136 2.9515645588010995
75 5.330745 4.069835904302807
76 4.359375 5.397935798851891
77 4.458793 6.856633753892619
78 4.917520 5.225938461017472
79 4.470021 5.567406468213191
80 4.862300 4.190983760582483
81 4.934454 4.570574056756885
82 4.756423 5.431720616623549
83 4.901659 4.217077411351315
84 5.247251 6.200897598762633
85 4.874866 6.459051137930578
86 5.323435 3.239683906244053
87 4.525462 4.615366085425242
88 5.370328 4.289494959662918
89 4.861057 3.1298273840327435
90 5.283265 3.7546572995883123
91 5.442495 5.942943567877117
92 5.329580 4.83731097553395
93 5.110208 4.567130490781875
94 5.044263 4.699749537354283
95 5.438495 5.401702592027247
96 4.982367 6.221943082426617
97 5.063246 3.5750159121593863
