#################################################################
#APDM Input Graph, this input graph includes 3 sections:
#section1 : general information
#section2 : nodes
#section3 : edges
#section4 : trueSubGraph (Optional)
#
#if nodes haven't information set weight to null
#################################################################
SECTION1 (General Information)
numNodes = 100
numEdges = 200
usedAlgorithm = Test
dataSource = GridData
END
#################################################################
SECTION2 (Nodes Information)
NodeID Base Counts
0 5.041348 20.804519705216773
1 4.879183 20.02684906144014
2 5.485232 5.5587622450242415
3 5.112492 3.0233056514527217
4 5.147936 4.571271579432257
5 5.082480 5.2381837296892195
6 4.913756 4.6461301085144315
7 4.697624 6.098537074213818
8 5.024255 4.664854651998776
9 5.431799 18.726628781546573
10 5.163037 19.999877620548435
11 5.071290 19.322041017298588
12 4.900007 4.028807146558231
13 4.896142 2.949071367307747
14 5.522228 5.34815317615461
15 5.251625 5.14393562400765
16 4.866144 5.184200869531653
17 5.489864 4.845145644643601
18 4.908532 3.4390891196509705
19 4.986603 4.373690388592845
20 4.674357 22.22692824695513
21 5.242218 20.280255196511618
22 4.650596 3.9895434303853454
23 5.144517 6.751754960561655
24 5.219575 4.022171071659813
25 5.344809 4.773291043387962
26 4.817839 5.5915840140489435
27 5.082253 5.657996665324843
28 5.246072 5.65447195826591
29 4.782668 4.5453824821435385
30 4.596527 17.935676516765003
31 5.044945 19.64660198838345
32 5.403485 5.109656710283222
33 5.208864 2.877159291259858
34 4.673060 5.422741416467704
35 5.288949 3.4936783760750374
36 4.792113 5.384959781553645
37 4.537164 5.43961671566867
38 5.013854 5.304025435712437
39 5.254930 5.8066456285069705
40 4.665220 18.62970812308927
41 5.339779 6.753749408598533
42 4.551265 5.51980752768142
43 5.179128 4.257018663124477
44 5.019992 3.417965762886872
45 4.763610 4.7529268252950505
46 4.871596 5.58375079972446
47 4.695265 6.317202610843445
48 5.069199 5.817239345056853
49 5.226159 5.079583551788952
50 5.243692 5.800279401485263
51 5.244927 4.857054444796977
52 4.677793 6.878064881600929
53 4.837529 4.36254368466872
54 4.750700 5.716473912721037
55 5.149451 5.679437196250147
56 5.261433 3.902677510330702
57 4.577594 4.4344161021310615
58 4.892322 5.1568186876890625
59 4.462976 5.827887179364328
60 5.420959 6.311285696038326
61 5.011891 5.3711194598185115
62 5.300976 4.70128845469807
63 4.789987 5.94910943296299
64 4.721838 6.225349333548707
65 4.464366 4.544111893184204
66 4.682578 6.7806996754196645
67 4.949032 18.406263677469905
68 4.760868 3.4378029958040934
69 5.237732 4.665241239703506
70 5.039984 21.189538809980277
71 5.310188 4.007548843145477
72 5.118262 3.761033304613753
73 5.136114 6.775313012115942
74 5.272567 5.697395478960411
75 4.302899 4.468114479037711
76 5.096176 5.751692504384398
77 5.057442 20.50180571732304
78 5.198587 20.675999702200897
79 4.722937 19.72688617995565
80 4.754665 19.29984934804445
81 5.256749 18.81299251454939
82 4.847063 5.163891547140704
83 6.109479 4.628638141808908
84 4.677807 3.3136743806703164
85 5.119921 6.15445988894642
86 5.198017 4.977422590070306
87 5.667294 5.10968946762304
88 4.585034 5.586704889789977
89 5.093497 6.655768735695173
90 4.762180 19.598506544307867
91 5.413969 20.060311033420554
92 4.414052 2.7548201037780893
93 5.117710 4.991713800181597
94 4.567999 4.705392370642364
95 5.545834 4.594681110231194
96 5.694015 3.0675898870290803
